,Nombre ,Sitio Web ,Tamaño ,Teléfono ,Sede ,Tipo ,Fundación ,Especialidades ,Sector 
0,FactorIT,http://www.factorit.com,201-500 empleados,NaN,"Santiago, Chile",NaN,2011,"banks, Financial Services, Insurance, Retail, Telecommunications, Transportation, Logistics, Education, Government, Public Sector, Integración, ETL, Calidad de datos, Business Intelligence, BPM, Qualitystage, Datastage, Information Analyzer, ESB, Data Marking, Data Governance, Information Management, Data Governance, Big Data, CDI, Analytics y Watson",Servicios de TI y consultoría de TI
1,Teilur,https://www.teilur.com/,2-10 empleados,+1 (347) 3984897,"Claymont, DE",NaN,2018,NaN,Dotación y selección de personal
2,Zurich Insurance,http://www.zurich.com/social-media,+10.001 empleados,NaN,"Zurich, Zurich",NaN,NaN,"insurance, Life insurance, Casual and Property Insurance y Investment Management",Seguros
3,Placer.ai,http://placer.io,51-200 empleados,NaN,"Los Altos, California",NaN,2018,NaN,Desarrollo de software
4,Appen,http://appen.com,501-1000 empleados,NaN,NaN,NaN,1996,"Search, Neuro-linguistic programming (NLP), Annotation, Evaluation, Personalization, Transcription, Spam Detection, Translation and Localization y Data Collection",Servicios de TI y consultoría de TI
5,DERCO COLOMBIA,https://derco.com.co/,201-500 empleados,(1) 5190300,NaN,NaN,2010,"automotriz, maquinaria, repuestos, servicios, gestión y transporte",Fabricación de vehículos motorizados
6,Trellix,https://www.trellix.com,1001-5000 empleados,NaN,NaN,NaN,2022,NaN,Seguridad de redes y sistemas informáticos
7,Widow Games,http://www.widowgames.com,11-50 empleados,NaN,"CABA, Buenos Aires",NaN,2012,"Mobile Game Design, Mobile Game Development, Mobile Gaming Porting, Videogames publishing y Videogame monetization",Videojuegos
8,Inetum,http://www.inetum.com,+10.001 empleados,NaN,"Saint-Ouen, Île-de-France",NaN,1970,"IT Services, informatique, consulting, cloud, IA, Artificial intelligence, blockchain, smart cities, industry 4.0, innovation, cybersecurity, ESN, DevOps, outsourcing, Application services, Infrastructure services y digital",Servicios de TI y consultoría de TI
9,Cognite,http://cognite.com,501-1000 empleados,NaN,"Lysaker, Bærum",NaN,2016,"IT, Data Platform, IIOT, Machine Learning, Artificial Intelligence, Big Data, 3D Models, digitaltransformation y Industrial DataOps",Servicios de TI y consultoría de TI
10,Sofka Technologies,http://www.sofka.com.co,501-1000 empleados,2668907,"Medellin , Antioquia",NaN,2013,"Arquitecturas Reactivas , DevOps , Automatización , Agilidad, SAP, Integración, Innovación, Testing, Agile testing, Programación Reactiva , Programación Limpia , Arquitectura Limpia, Pruebas Performance, RPA y Inteligencia Artificial",Servicios de TI y consultoría de TI
11,Grupodot,http://www.grupodot.com,51-200 empleados,(316) 786 7968,"Bogotá, Bogotá D.C.",NaN,2004,"Interaction Design, User Experience, BI & BigData Consulting, Google Analytics 360 Suite Partner, Big data, Diseño de interacción, Diseño de servicios, Inteligencia artificial, artificial intelligence, IA, AI, UX, UI, Google Marketing Platform, Marketing, BI, Estrategia, Publicidad, Análisis de datos, Inteligencia de negocios, marketing digital, Personalización, Churn, Design thinking y Data Thinking",Servicios de publicidad
12,Listopro,http://www.listopro.com,11-50 empleados,NaN,"Mexico City, Ciudad de México",NaN,2017,NaN,Publicaciones en línea
13,ScotiaTech,NaN,1001-5000 empleados,NaN,NaN,NaN,NaN,NaN,Servicios de TI y consultoría de TI
14,Dafiti Group LATAM,http://www.dafiti.com.ar/,201-500 empleados,NaN,"Buenos Aires , Buenos Aires",NaN,2011,"Industria Textil y Moda, Tienda Online, E-Commerce y Fashion",Industria textil y moda para la venta minorista
15,Dataico,http://dataico.com,11-50 empleados,3213030900,NaN,NaN,NaN,"nominaelectronica, contabilidad, facturacionelectronica, software, proveedortecnologico, proveedordian, nomina, facturaelectronica y pymes",Servicios financieros
